Date,Hashrate,Fees(sat),Nb_trans,Nb_trans_block,Price,Fee_per_block,Block_reward,ELectricity(TWh),Cambridge_MAX(TWh),Cambridge_MIN(TWh),Cambridge_GUESS(TWh),Dig_Guess(TWh),Dig_Min(TWh)
2022-07-21,199187652.45519632,24.191234770000005,273976.0,1971.0503597122301,23227.22,0.00047682141995291516,6.25,152.6144776881063,153.782135149845,37.2881667870257,83.0074655383054,"134,445768844","58,073999105"
2022-07-24,216126988.13848722,10.677899700000001,199919.0,1273.3694267515923,22461.7,0.00013596911019900002,6.25,147.57657946714752,156.633139033663,37.5565654899257,83.8733026145752,"135,6594144293","58,7564688783"
2022-07-27,227139828.29841012,12.14846598,255930.0,1551.090909090909,21267.33,0.0001884337514097818,6.25,139.73057076589242,169.721239582923,39.4721762525486,88.9358796766741,"136,8840156262","58,6830469676"
2022-07-30,177582047.57875702,12.478252440000006,232696.0,1803.84496124031,23792.0,0.00022508832788978617,6.25,156.3190694929338,174.958865845714,38.9319252869443,88.9549815892049,"138,1196713311","60,9872713076"
2022-08-02,213373778.09850645,15.17426654,266968.0,1722.374193548387,23298.94,0.0002613576509452077,6.25,153.0804369312668,176.893046177143,38.3329638046671,88.4169890921647,"139,3483574684","62,148854595"
2022-08-05,210085555.03954557,19.59420281,268463.0,1789.7533333333333,22608.3,0.0003506878979320687,6.25,148.5448653942116,176.323596798857,37.5379108283057,87.1396527855609,"140,6062588536","60,6277479265"
2022-08-08,201682132.83796376,15.522830250000007,256582.0,1781.8194444444443,23174.25,0.00027658880772260427,6.25,152.26156041677208,186.008451423429,39.5997404182329,91.9259371206435,"141,8755153487","59,9918314633"
2022-08-11,196079851.3702425,18.64861835,287356.0,2052.542857142857,23959.92,0.0003827708838987571,6.25,157.42631512313605,186.949844686286,39.8001556604186,92.391176507483,"143,1562294564","62,3228387764"
2022-08-14,186275858.8017304,7.940145240000001,205350.0,1543.984962406015,24447.13,0.00012259464849879702,6.25,160.6207946381794,179.078162024571,38.1243361604271,88.5009672193728,"144,4485046049","62,5686156824"
2022-08-17,180673577.33400917,15.181718970000006,256127.0,1985.4806201550387,23876.29,0.0003014300879557513,6.25,156.87479082024313,176.752524692571,37.6292262127371,87.3516302429567,"145,7316856567","60,9884922179"
2022-08-20,209995536.33219454,9.04033101,222722.0,1494.778523489933,20843.22,0.00013513292638988052,6.25,136.94291621550607,184.015814394857,39.1755236233757,90.9411698974825,"140,2144735575","60,3420279106"
2022-08-23,242410954.69219768,11.490086569999997,256928.0,1493.7674418604652,21402.93,0.00017163517222424185,6.25,140.6211116785502,191.155202948571,40.6954434512571,94.469477231081,"139,6366788705","62,1297315466"
2022-08-26,248048418.754807,11.316776899999999,262722.0,1492.7386363636363,21597.93,0.00016892990117737497,6.25,141.902235441233,194.900969849143,41.8896681155486,96.907090277886,"135,7074756568","63,8792932372"
2022-08-29,221270464.45741308,11.008257659999996,252235.0,1606.592356687898,19550.07,0.00017685782617007,6.25,128.44759451112523,194.138470609714,42.77114166717,98.073009294788,"131,4256634367","65,5181116673"
2022-09-01,212503108.15739748,14.71813337,268022.0,1942.1884057971015,20047.68,0.0002858538798618942,6.25,131.71928171931427,182.436215332166,42.4738635901586,95.6695882219583,"132,0271922168","66,4229601728"
2022-09-04,258699436.01770127,10.468580169999997,204538.0,1217.4880952380952,19834.94,0.00012745371731020592,6.25,130.3182132723216,173.703044422934,42.5932697405571,94.8041748380984,"132,5709041493","66,2656429531"
2022-09-07,224822128.92014512,14.779833100000005,265239.0,1816.7054794520548,18806.7,0.00026850603778156857,6.25,123.5653272577808,163.097673901581,42.83757510498,94.3179193826499,"126,7849339524","66,0862421563"
2022-09-10,241760782.46892318,12.414737120000003,241936.0,1540.9936305732483,21387.58,0.00019131030827161278,6.25,140.52070175774656,156.429039579429,43.5494435188114,95.1643767625509,"127,9294249744","66,7643003125"
2022-09-13,211972242.0735515,15.56089316,260108.0,1898.5985401459855,22392.71,0.0002954388903694365,6.25,147.12705910007736,158.057727315429,44.0028660083914,96.1551969692974,"129,0842473477","68,1919824508"
2022-09-16,203901883.4393143,19.074281950000003,261361.0,2041.8828125,19694.69,0.0003894744847448399,6.25,129.40217661289705,157.435711992,43.82969853726,95.7767908833815,"130,2494943338","67,7593885424"
